File: 제22대국회 제418회(정기회) 제3차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 31
File: 제22대국회 제418회(정기회) 제3차 과학기술정보방송통신위원회(전체회의 | Keyword: 이렇 | Count: 20
File: 제22대국회 제418회(정기회) 제3차 과학기술정보방송통신위원회(전체회의 | Keyword: 필요 | Count: 13
File: 제22대국회 제418회(정기회) 제2차 과학기술정보방송통신위원회(정보통신 | Keyword: 대표발 | Count: 47
File: 제22대국회 제418회(정기회) 제2차 과학기술정보방송통신위원회(정보통신 | Keyword [contains 원회]: 방송통신위원회방 | Count: 28
File: 제22대국회 제418회(정기회) 제2차 과학기술정보방송통신위원회(정보통신 | Keyword: 필요 | Count: 26
File: 제22대국회 제418회(정기회) 제2차 과학기술정보방송통신위원회(정보통신 | Keyword: 그리 | Count: 24
File: 제22대국회 제418회(정기회) 제4차 과학기술정보방송통신위원회(전체회의 | Keyword: 대표발 | Count: 34
File: 제22대국회 제418회(정기회) 제4차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 25
File: 제22대국회 제418회(정기회) 제4차 과학기술정보방송통신위원회(전체회의 | Keyword: 이렇 | Count: 15
File: 제22대국회 제418회(정기회) 제4차 과학기술정보방송통신위원회(전체회의 | Keyword: 국민 | Count: 12
File: 제22대국회 제418회(정기회) 제5차 과학기술정보방송통신위원회(전체회의 | Keyword: 이렇 | Count: 7
File: 제22대국회 제418회(정기회) 제5차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 6
File: 제22대국회 2024년도 국정감사 과학기술정보방송통신위원회(전체회의) ( | Keyword: 그리 | Count: 32
File: 제22대국회 2024년도 국정감사 과학기술정보방송통신위원회(전체회의) ( | Keyword: 이렇 | Count: 18
File: 제22대국회 2024년도 국정감사 과학기술정보방송통신위원회(전체회의) ( | Keyword: 국민 | Count: 10
File: 제22대국회 2024년도 국정감사 과학기술정보방송통신위원회(전체회의) ( | Keyword: 그리 | Count: 22
File: 제22대국회 2024년도 국정감사 과학기술정보방송통신위원회(전체회의) ( | Keyword: 이렇 | Count: 15
File: 제22대국회 제418회(정기회) 제6차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 5
File: 제22대국회 2024년도 국정감사 과학기술정보방송통신위원회(전체회의) ( | Keyword: 국민 | Count: 15
File: 제22대국회 2024년도 국정감사 과학기술정보방송통신위원회(전체회의) ( | Keyword: 그리 | Count: 15
File: 제22대국회 제418회(정기회) 제7차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 7
File: 제22대국회 2024년도 국정감사 과학기술정보방송통신위원회(전체회의) ( | Keyword: 그리 | Count: 27
File: 제22대국회 2024년도 국정감사 과학기술정보방송통신위원회(전체회의) ( | Keyword: 이렇 | Count: 12
File: 제22대국회 2024년도 국정감사 과학기술정보방송통신위원회(전체회의) ( | Keyword: 하지 | Count: 10
File: 제22대국회 제418회(정기회) 제9차 과학기술정보방송통신위원회(전체회의 | Keyword: 이렇 | Count: 11
File: 제22대국회 제418회(정기회) 제9차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 9
File: 제22대국회 제418회(정기회) 제10차 과학기술정보방송통신위원회(전체회 | Keyword: 그리 | Count: 35
File: 제22대국회 제418회(정기회) 제10차 과학기술정보방송통신위원회(전체회 | Keyword: 이렇 | Count: 14
File: 제22대국회 2024년도 국정감사 과학기술정보방송통신위원회(전체회의) ( | Keyword: 그리 | Count: 37
File: 제22대국회 2024년도 국정감사 과학기술정보방송통신위원회(전체회의) ( | Keyword: 이훈 | Count: 18
File: 제22대국회 2024년도 국정감사 과학기술정보방송통신위원회(전체회의) ( | Keyword: 이렇 | Count: 15
File: 제22대국회 2024년도 국정감사 과학기술정보방송통신위원회(전체회의) ( | Keyword: 필요 | Count: 8
File: 제22대국회 2024년도 국정감사 과학기술정보방송통신위원회(전체회의) ( | Keyword: 그리 | Count: 37
File: 제22대국회 2024년도 국정감사 과학기술정보방송통신위원회(전체회의) ( | Keyword: 이훈 | Count: 18
File: 제22대국회 2024년도 국정감사 과학기술정보방송통신위원회(전체회의) ( | Keyword: 이렇 | Count: 13
File: 제22대국회 2024년도 국정감사 과학기술정보방송통신위원회(전체회의) ( | Keyword: 필요 | Count: 12
File: 제22대국회 제418회(정기회) 제12차 과학기술정보방송통신위원회(전체회 | Keyword: 대표발 | Count: 32
